file,bench,date,preset,env,size_mb,iters,threads,used_bytes,mean_sec,mean_GiBps,p50_sec,p50_GiBps,p99_sec,p99_GiBps,seed,mean_ns_per_hop,p50_ns_per_hop,p99_ns_per_hop,m,n,k,warmup,check,check_samples,kernel_ms_total,kernel_ms_avg,tflops,max_abs_err_col,max_abs_err_row,max_abs_err_col_vs_rowc,max_abs_err_row_vs_colc,max_abs_err_col_brow,max_abs_err_row_bcol,non_finite_samples,mi,ni,c_col,c_row,acc_col,acc_row,acc_col_brow,acc_row_bcol,total_sec,per_launch_us,kernel_gbps,d2h_ms,max_abs_err
2026-01-29_baseline_membw_cpu.txt,membw_cpu,2026-01-29,,,1024,8,12,1024,0.075,26.788,0.074,26.89,0.077,25.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29_baseline_memlat_cpu.txt,memlat_cpu,2026-01-29,,,256,30,,,,,,,,,12345,101.2,100.8,104.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31_hip_gemm_check_diag_amdcloud.txt,hip_gemm,2026-01-31,,amdcloud,,10,,,,,,,,,,,,,512,512,512,5,1,8,0.088,0.009,30.587,1.2152205719230057e+31,2.1097396666320023e+36,1.63336372568623e+36,2.24587038281944e+36,1.6333431359981116e+36,4.355602962777523e+36,0,,,,,,,,,,,,,
2026-01-31_hip_gemm_check_dump_amdcloud.txt,hip_gemm,2026-01-31,,amdcloud,,1,,,,,,,,,,,,,4,4,4,0,1,1,78.765,78.765,0.0,0.0,0.097,0.0,0.097,0.43,0.307,0,3,3,7.8456,7.8456,7.8456,7.9428,8.2752,7.5384,,,,,
2026-01-31_hip_gemm_check_fixed_amdcloud.txt,hip_gemm,2026-01-31,,amdcloud,,10,,,,,,,,,,,,,512,512,512,5,1,8,0.088,0.009,30.38,0.0,51.803,33.848,34.448,28.301,164.029,0,,,,,,,,,,,,,
2026-01-31_hip_gemm_perf_amdcloud.txt,hip_gemm,2026-01-31,perf,amdcloud,,10,,,,,,,,,,,,,4096,4096,4096,5,1,8,13.511,1.351,101.721,0.0,25.734,23.246,20.532,15.6,174.901,0,,,,,,,,,,,,,
2026-01-31_hip_gemm_smoke_amdcloud.txt,hip_gemm,2026-01-31,smoke,amdcloud,,10,,,,,,,,,,,,,512,512,512,5,1,8,0.09,0.009,29.825,0.0,51.803,33.848,34.448,28.301,164.029,0,,,,,,,,,,,,,
2026-01-31_hip_gemm_standard_amdcloud.txt,hip_gemm,2026-01-31,standard,amdcloud,,20,,,,,,,,,,,,,2048,2048,2048,5,1,8,4.546,0.227,75.583,0.0,25.119,23.158,16.85,17.58,93.599,0,,,,,,,,,,,,,
2026-01-31_hip_noop_launch.txt,hip_noop_launch,2026-01-31,,,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4697,2.3483,,,
2026-01-31_hip_noop_launch_perf_amdcloud.txt,hip_noop_launch,2026-01-31,perf,amdcloud,,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6204,1.5509,,,
2026-01-31_hip_noop_launch_smoke_amdcloud.txt,hip_noop_launch,2026-01-31,smoke,amdcloud,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,1.5502,,,
2026-01-31_hip_noop_launch_standard_amdcloud.txt,hip_noop_launch,2026-01-31,standard,amdcloud,,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3102,1.5508,,,
2026-01-31_hip_vec_add_perf_amdcloud.txt,hip_vec_add,2026-01-31,perf,amdcloud,,400,,,,,,,,,,,,,,16777216,,10,,,18.296,0.046,,,,,,,,,,,,,,,,,,,4401.599,3.034,0.0
2026-01-31_hip_vec_add_smoke.txt,hip_vec_add,2026-01-31,smoke,,,50,,,,,,,,,,,,,,4194304,,10,,,0.936,0.019,,,,,,,,,,,,,,,,,,,2689.372,1.005,0.0
2026-01-31_hip_vec_add_smoke_amdcloud.txt,hip_vec_add,2026-01-31,smoke,amdcloud,,50,,,,,,,,,,,,,,4194304,,10,,,0.663,0.013,,,,,,,,,,,,,,,,,,,3793.13,0.625,0.0
2026-01-31_hip_vec_add_standard.txt,hip_vec_add,2026-01-31,standard,,,200,,,,,,,,,,,,,,16777216,,10,,,8.481,0.042,,,,,,,,,,,,,,,,,,,4747.449,2.236,0.0
2026-01-31_hip_vec_add_standard_amdcloud.txt,hip_vec_add,2026-01-31,standard,amdcloud,,200,,,,,,,,,,,,,,16777216,,10,,,8.664,0.043,,,,,,,,,,,,,,,,,,,4647.508,2.684,0.0
2026-01-31_membw_cpu_perf_amdcloud.txt,membw_cpu,2026-01-31,perf,amdcloud,2048,8,20,2048,0.026,155.615,0.027,148.44,0.028,143.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31_membw_cpu_smoke_amdcloud.txt,membw_cpu,2026-01-31,smoke,amdcloud,512,3,20,512,0.008,120.353,0.008,120.81,0.008,118.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31_membw_cpu_standard_amdcloud.txt,membw_cpu,2026-01-31,standard,amdcloud,1024,6,20,1024,0.013,151.854,0.013,154.467,0.014,139.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31_memlat_cpu_perf_amdcloud.txt,memlat_cpu,2026-01-31,perf,amdcloud,512,80,,,,,,,,,12345,102.68,99.94,116.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
